Address 1,City,Country,County,Location,Name,Number of Officers,Phone #,Population Served,State,Type,Website,Zip Code,Fax #,Address 2
28 S Vine St,Columbiana,United States,Columbiana County,"Columbiana, OH",Columbiana Police Department,11,330-482-9292,6000,Ohio,Police Departments,,44408-1207,330-482-6203,
104 Lisbon St,Canfield,United States,Mahoning County,"Canfield, OH",Canfield Police Department,22,330-533-4903,7475,Ohio,Police Departments,,44406-1416,330-533-0741,
6844 Strimbu Dr,Brookfield,United States,Trumbull County,"Brookfield, OH",Brookfield Township Police Department,8,330-448-6960,15000,Ohio,Police Departments,,44403-9526,330-448-4267,
3487 S Smith Rd,Fairlawn,United States,Summit County,"Fairlawn, OH",Fairlawn Police Department,30,330-670-4300,7200,Ohio,Police Departments,,44333-3007,330-670-4326,
1280 Sunset Dr,Copley,United States,Summit County,"Copley, OH",Copley Township Police Department,26,330-666-4218,13000,Ohio,Police Departments,,44321-1605,330-666-0783,
9621 E Center St,Windham,United States,Portage County,"Windham, OH",Windham Police Department,10,330-326-2211,3500,Ohio,Police Departments,,44288-1010,330-326-3398,
6 Spring St,Seville,United States,Medina County,"Seville, OH",Seville Police Department,6,330-769-4003,2500,Ohio,Police Departments,,44273-9783,330-769-1356,
53 Northeast Ave,Tallmadge,United States,Summit County,"Tallmadge, OH",Tallmadge Police Department,26,330-633-2181,17000,Ohio,Police Departments,,44278-1992,330-633-4002,
33 E Ohio Ave,Rittman,United States,Wayne County,"Rittman, OH",Rittman Police Department,19,330-927-1551,7500,Ohio,Police Departments,,44270-1551,,
2600 Hwy 301 S,Jesup,United States,Wayne County,"Jesup, GA",Jesup Federal Correctional Institution,,912-427-0870,,Georgia,Federal Correctional Institutions,,31599-5676,912-427-1125,
33 Munroe Falls Ave,Munroe Falls,United States,Summit County,"Munroe Falls, OH",Munroe Falls Police Department,15,330-688-7494,5400,Ohio,Police Departments,,44262-1537,330-686-3601,
111 Cleveland Avenue,Mogadore,United States,Summit County,"Mogadore, OH",Mogadore Police Department,9,330-633-4404,4400,Ohio,Police Departments,,44260-1239,330-628-4916,
2080 State Rte 303,Streetsboro,United States,Portage County,"Streetsboro, OH",Streetsboro Police Department,23,330-626-4976,14000,Ohio,Police Departments,,44241-1707,330-626-5239,
1400 Main St,Lakemore,United States,Summit County,"Lakemore, OH",Lakemore Police Department,11,330-733-6125,3000,Ohio,Police Departments,,,330-734-3954,
Air Operations,Oklahoma City,United States,Oklahoma County,"Oklahoma City, OK",US Marshals Service,,405-680-3404,,Oklahoma,US Marshals Service,,73159-1198,405-680-3466,5900 Air Cargo Rd
8123 High St,Garrettsville,United States,Portage County,"Garrettsville, OH",Garrettsville Police Department,15,330-527-4717,2500,Ohio,Police Departments,,44231-1205,330-527-3129,
24 S Portage St,Doylestown,United States,Wayne County,"Doylestown, OH",Doylestown Police Department,8,330-658-6582,3200,Ohio,Police Departments,,44230-1500,330-658-3838,
24800 Broadway Ave,Oakwood Village,United States,Cuyahoga County,"Oakwood Village, OH",Oakwood Village Police Department,17,440-232-1035,4500,Ohio,Police Departments,,44146-6395,440-232-6728,
4060 Columbia Woods Dr,Norton,United States,Summit County,"Norton, OH",Norton Police Department,16,330-825-2491,11970,Ohio,Police Departments,,44203-5798,330-825-8060,
8500 Doniphan Dr,Anthony,United States,Dona Ana County,"Anthony, TX",La Tuna Federal Correctional Institution,,915-886-3422,,Texas,Federal Correctional Institutions,,79821-9312,915-886-4977,
7595 Walton Rd,Walton Hills,United States,Cuyahoga County,"Walton Hills, OH",Walton Hills Police Department,15,440-232-1313,2500,Ohio,Police Departments,,44146-5099,440-786-2975,
6621 Wilson Mills Rd,Mayfield Village,United States,Cuyahoga County,"Mayfield Village, OH",Mayfield Village Police Department,16,440-461-1234,3500,Ohio,Police Departments,,44143-3499,440-461-4846,
5827 Highland Rd,Highland Hts,United States,Cuyahoga County,"Highland Hts, OH",Highland Heights Police Department,22,440-442-8825,6000,Ohio,Police Departments,,44143-2098,440-442-1959,
9069 Brecksville Rd,Brecksville,United States,Cuyahoga County,"Brecksville, OH",Brecksville Police Department,40,440-526-8900,12000,Ohio,Police Departments,,44141-2313,440-546-2002,
26100 Bagley Rd,Olmsted Falls,United States,Cuyahoga County,"Olmsted Falls, OH",Olmsted Falls Police Department,12,440-235-3145,7500,Ohio,Police Departments,,44138-1897,440-235-5455,
7325 Summitview Dr,Seven Hills,United States,Cuyahoga County,"Seven Hills, OH",Seven Hills Police Department,27,216-524-4423,14000,Ohio,Police Departments,,44131-4499,216-524-7740,
345 Tuxedo Ave,Brooklyn Hts,United States,Cuyahoga County,"Brooklyn Hts, OH",Brooklyn Heights Police Department,16,216-749-4300,1700,Ohio,Police Departments,,44131-1100,216-741-3868,
21937 Miles Rd,North Randall,United States,Cuyahoga County,"North Randall, OH",North Randall Police Department,27,216-663-1234,1100,Ohio,Police Departments,,44128-4796,216-663-1238,
28000 Shaker Blvd,Pepper Pike,United States,Cuyahoga County,"Pepper Pike, OH",Pepper Pike Police Department,17,216-831-1424,7000,Ohio,Police Departments,,44124-5049,216-831-0175,
6899 Hathaway Rd,Valley View,United States,Cuyahoga County,"Valley View, OH",Valley View Police Department,19,216-524-9687,2300,Ohio,Police Departments,,44125-4705,216-524-9254,
2700 Richmond Rd,Beachwood,United States,Cuyahoga County,"Beachwood, OH",Beachwood Police Department,37,216-464-2343,12000,Ohio,Police Departments,,44122-1780,216-292-1954,
4071 E 49th St,Newburgh Hts,United States,Cuyahoga County,"Newburgh Hts, OH",Newburgh Heights Police Department,19,216-641-5545,2310,Ohio,Police Departments,,44105-3200,216-641-2713,
411 Bratenahl Rd,Bratenahl,United States,Cuyahoga County,"Bratenahl, OH",Bratenahl Police Department,12,216-681-1235,1500,Ohio,Police Departments,,44108-1027,216-681-3078,
7215 Eagle Rd,Waite Hill,United States,Lake County,"Waite Hill, OH",Waite Hill Police Department,8,440-942-1660,454,Ohio,Police Departments,,,440-942-7567,
9301 Chillicothe Rd,Kirtland,United States,Lake County,"Kirtland, OH",Kirtland Police Department,17,440-256-3334,6900,Ohio,Police Departments,,44094-8501,440-256-0528,
35405 Chardon Rd,Willoughby Hills,United States,Lake County,"Willoughby Hills, OH",Willoughby Hills Police Department,34,440-942-9111,12000,Ohio,Police Departments,,44094-9195,440-942-1355,
SSG Sims Rd Bldg 11636,El Paso,United States,El Paso County,"El Paso, TX",El Paso Federal Prison Camp,,915-564-2100,,Texas,Federal Correctional Institutions,,79906-3220,915-564-2291,
28730 Ridge Rd,Wickliffe,United States,Lake County,"Wickliffe, OH",Wickliffe Police Department,30,440-943-1234,14500,Ohio,Police Departments,,44092-2501,440-943-7159,
10075 Ravenna Rd,Twinsburg,United States,Summit County,"Twinsburg, OH",Twinsburg Police Department,34,330-425-1234,17006,Ohio,Police Departments,,44087-1718,330-963-6434,
5791 Liberty Ave,Vermilion,United States,Erie County,"Vermilion, OH",Vermilion Police Department,30,440-967-6116,18000,Ohio,Police Departments,,44089-1156,440-967-4094,
220 3rd St,Fairport Harbor,United States,Lake County,"Fairport Harbor, OH",Fairport Harbor Police Department,6,440-352-3620,3000,Ohio,Police Departments,,44077-5822,440-352-8872,
78 E Main St,Orwell,United States,Ashtabula County,"Orwell, OH",Orwell Police Department,16,440-437-1234,1500,Ohio,Police Departments,,44076-9520,440-437-8341,
85 S Main St,Oberlin,United States,Lorain County,"Oberlin, OH",Oberlin Police Department - OH,18,440-774-1061,8700,Ohio,Police Departments,,44074-1603,440-774-1150,
3541 E Center St,North Kingsville,United States,Ashtabula County,"North Kingsville, OH",North Kingsville Police Department,8,440-224-1074,33000,Ohio,Police Departments,,44068,440-224-0331,
14860 N State Ave,Middlefield,United States,Geauga County,"Middlefield, OH",Middlefield Police Department,9,440-632-5224,2000,Ohio,Police Departments,,44062-9747,440-632-9615,
5860 Andrews Rd,Mentor-on-the-Lake,United States,Lake County,"Mentor-on-the-Lake, OH",Mentor-on-the-Lake Police Department,24,440-257-7234,8500,Ohio,Police Departments,,44060-2827,440-257-7181,
9691 Valley View Rd,Macedonia,United States,Summit County,"Macedonia, OH",Macedonia Police Department,22,330-468-1234,8500,Ohio,Police Departments,,44056-2044,330-468-8391,
609 Harris Rd,Sheffield Lake,United States,Lorain County,"Sheffield Lake, OH",Sheffield Lake Police Department,16,440-949-7131,11000,Ohio,Police Departments,,44054-1469,440-949-2898,
4964 S Spencer Dr,Geneva On The Lake,United States,Ashtabula County,"Geneva On The Lake, OH",Geneva On The Lake Police Department,20,440-466-8197,1700,Ohio,Police Departments,,44041-9715,440-466-8911,
1470 Chagrin River Rd,Gates Mills,United States,Cuyahoga County,"Gates Mills, OH",Village of Gates Mills Police Department,12,440-423-4456,2500,Ohio,Police Departments,,44040-9703,440-423-2002,
294 Main St,Conneaut,United States,Ashtabula County,"Conneaut, OH",Conneaut Police Department,21,440-593-7446,13500,Ohio,Police Departments,,44030-2650,440-593-6966,
111 Water St,Chardon,United States,Geauga County,"Chardon, OH",Chardon Police Department,18,440-286-6123,4500,Ohio,Police Departments,,44024-1238,440-286-2680,
5205 Chillicothe Rd,South Russell,United States,Cuyahoga County,"South Russell, OH",South Russell Police Department,15,440-338-7611,3400,Ohio,Police Departments,,44022-4397,440-338-1529,
17826 Chillicothe Rd,Chagrin Falls,United States,Geauga County,"Chagrin Falls, OH",Bainbridge Township Police Department,20,440-543-8252,12000,Ohio,Police Departments,,44023-4897,440-543-4797,
21 W Washington St,Chagrin Falls,United States,Cuyahoga County,"Chagrin Falls, OH",Chagrin Falls Police Department,32,440-247-7321,4951,Ohio,Police Departments,,44022-3010,440-247-1037,
4350 SOM Center Rd,Moreland Hills,United States,Cuyahoga County,"Moreland Hills, OH",Moreland Hills Police Department,16,440-248-7585,3400,Ohio,Police Departments,,44022-2316,440-248-6996,
4600 Lander Rd,Orange Village,United States,Cuyahoga County,"Orange Village, OH",Orange Village Police Department,15,440-498-4401,3500,Ohio,Police Departments,,44022-1704,440-498-4412,
36774 Detroit Rd,Avon,United States,Lorain County,"Avon, OH",Avon Police Department (OH),14,440-934-1234,8500,Ohio,Police Departments,,44011-1514,440-934-4054,
911 N Lake St,Amherst,United States,Lorain County,"Amherst, OH",Amherst Police Department,20,440-988-2625,15200,Ohio,Police Departments,,44001-1350,440-988-3009,
103 W Main St,South Amherst,United States,Lorain County,"South Amherst, OH",South Amherst Police Department,15,440-986-8118,2130,Ohio,Police Departments,,44001-2923,440-986-8119,
212 High St,Flushing,United States,Belmont County,"Flushing, OH",Flushing Police Department,4,740-968-4144,1300,Ohio,Police Departments,,43977-9702,,
309 N 5th St,Toronto,United States,Jefferson County,"Toronto, OH",Toronto Police Department,10,740-537-1591,7000,Ohio,Police Departments,,43964-1531,740-537-5438,
Grandview Ave & Market St,Tiltonsville,United States,Jefferson County,"Tiltonsville, OH",Tiltonsville Police Department,9,740-859-2730,1329,Ohio,Police Departments,,43963,740-859-6464,
1347 Main St,Smithfield,United States,Jefferson County,"Smithfield, OH",Smithfield Police Department,13,740-733-7815,1500,Ohio,Police Departments,,,,
66 East Main Street,Salineville,United States,Columbiana County,"Salineville, OH",Salineville Police Department,19,330-679-3080,2000,Ohio,Police Departments,,43945-1078,330-679-2316,
50 E 39th St,Shadyside,United States,Belmont County,"Shadyside, OH",Shadyside Police Department,10,740-676-4023,4500,Ohio,Police Departments,,43947-1303,740-676-6548,
5th & Walnut St,Martins Ferry,United States,Belmont County,"Martins Ferry, OH",Martins Ferry Police Department,11,740-633-2121,8000,Ohio,Police Departments,,,740-633-0634,
15442 Pugh Rd Ste 1,Calcutta,United States,Columbiana County,"Calcutta, OH",St Clair Township Police Department,11,330-386-6326,10000,Ohio,Police Departments,,43920-9607,330-386-0332,
116 N Kirk St,West Lafayette,United States,Coshocton County,"West Lafayette, OH",West Lafayette Police Department,15,740-545-6324,2224,Ohio,Police Departments,,43845-1208,740-545-5430,
107 E Main St,Port Washington,United States,Tuscarawas County,"Port Washington, OH",Port Washington Police Department,4,740-498-6308,700,Ohio,Police Departments,,,740-498-6938,
124 W Church St,Newcomerstown,United States,Tuscarawas County,"Newcomerstown, OH",Newcomerstown Police Department,8,740-498-6161,4012,Ohio,Police Departments,,43832-1108,740-498-6858,
18 W 9th St,Dresden,United States,Muskingum County,"Dresden, OH",Dresden Police Department,11,740-754-4231,1800,Ohio,Police Departments,,43821-9734,740-754-6241,
221 S Main St,Woodsfield,United States,Monroe County,"Woodsfield, OH",Woodsfield Police Department,7,740-472-5771,2832,Ohio,Police Departments,,43793-1024,740-472-1272,
114 W Main St,New Straitsville,United States,Perry County,"New Straitsville, OH",New Straitsville Police Department,2,740-394-2425,1000,Ohio,Police Departments,,,740-394-2410,
601 McDonough Blvd SE,Atlanta,United States,Fulton County,"Atlanta, GA",US Penitentiary - Atlanta,,404-635-5100,,Georgia,Federal Correctional Institutions,,30315-4407,404-331-2137,
4001 Leopard Dr,Texarkana,United States,Bowie County,"Texarkana, TX",Texarkana Fed Correctional Institution,,903-838-4587,,Texas,Federal Correctional Institutions,,75501-8100,903-223-4417,
125 S Main St,New Lexington,United States,Perry County,"New Lexington, OH",New Lexington Police Department,7,740-342-4111,5300,Ohio,Police Departments,,43764-1368,740-342-1292,
J St Bldg 3000,Ft Worth,United States,Tarrant County,"Ft Worth, TX",Carswell Federal Medical Center,,817-782-4000,,Texas,Federal Correctional Institutions,,,817-782-4875,
8730 Scroggs Rd,Elkton,United States,Columbiana County,"Elkton, OH",Elkton Fed Correctional Institution,,330-424-7448,,Ohio,Federal Correctional Institutions,,,330-424-7075,
6902 Airport Rd,Duluth,United States,St Louis County,"Duluth, MN",Duluth Federal Prison Camp,,218-722-8634,,Minnesota,Federal Correctional Institutions,,,218-733-4701,
4550 Hebert Rd,Beaumont,United States,Jefferson County,"Beaumont, TX",Beaumont Low FCI,,409-727-8172,,Texas,Federal Correctional Institutions,,77705-0502,409-626-3500,
71 W Van Buren St,Chicago,United States,Bond County,"Chicago, IL",Chicago Metro Correctional Center,,312-322-0567,,Illinois,Federal Correctional Institutions,,60605-1004,,
3301 Leestown Rd,Lexington,United States,Fayette County,"Lexington, KY",Lexington Fed Medical Center,,859-255-6812,,Kentucky,Federal Correctional Institutions,,40511-8702,859-253-8822,
9 W Main St,McConnelsville,United States,Morgan County,"McConnelsville, OH",Mc Connelsville Police Department,5,740-962-3163,2150,Ohio,Police Departments,,43756-1264,740-962-6127,
Management & Specialty Trng Ctr,Aurora,United States,Adams County,"Aurora, CO",Federal Bureau of Prisons,,303-340-7800,,Colorado,Federal Bureau of Prisons,,80011-7112,303-340-7968,791 Chambers Rd
22 China St,Crooksville,United States,Perry County,"Crooksville, OH",Crooksville Police Department,3,740-982-2656,2766,Ohio,Police Departments,,43731-1110,740-982-7641,
S Main St,Bethesda,United States,Belmont County,"Bethesda, OH",Bethesda Police Department,7,740-484-4009,1431,Ohio,Police Departments,,43719,740-484-1039,
Region 10,Juneau,United States,Juneau County,"Juneau, AK",US Forest Service,,907-586-8820,,Alaska,US Forest Service,,99801-1807,907-586-8780,709 W 9th St Rm 923
2125 Richards Rd,Toledo,United States,Lucas County,"Toledo, OH",Ottawa Hills Police Department,14,419-531-4211,4550,Ohio,Police Departments,,43606-2500,419-531-3214,
118 W Jackson St,West Unity,United States,Williams County,"West Unity, OH",West Unity Police Department,11,419-924-2271,1659,Ohio,Police Departments,,,419-924-5239,
219 Chestnut St,Swanton,United States,Fulton County,"Swanton, OH",Swanton Police Department,10,419-826-4696,3424,Ohio,Police Departments,,43558-1303,419-825-1827,
230 Clinton St,Wauseon,United States,Fulton County,"Wauseon, OH",Wauseon Police Department,14,419-335-3821,8000,Ohio,Police Departments,,43567,419-335-3527,
25 N 2nd St,Waterville,United States,Lucas County,"Waterville, OH",Waterville Police Department,14,419-878-8184,5000,Ohio,Police Departments,,43566-1402,419-878-4256,
203 N Depot St,Stryker,United States,Williams County,"Stryker, OH",Stryker Police Department,10,419-682-4911,1600,Ohio,Police Departments,,43557,419-682-4003,
330 Walnut,Perrysburg,United States,Wood County,"Perrysburg, OH",Perrysburg Police Division,31,419-872-8001,17500,Ohio,Police Departments,,43551-1455,419-872-8081,
510 W High St,Hicksville,United States,Defiance County,"Hicksville, OH",Hicksville Police Department,8,419-542-6661,4500,Ohio,Police Departments,,43526-1038,419-542-6881,
108 E Indiana St,Edon,United States,Williams County,"Edon, OH",Edon Police Department,9,419-272-3333,1000,Ohio,Police Departments,,,419-272-3311,
101 E Main St,Deshler,United States,Henry County,"Deshler, OH",Deshler Police Department,5,419-278-2786,2300,Ohio,Police Departments,,43516-1286,419-278-8118,
103 N Beech St,Bryan,United States,Williams County,"Bryan, OH",Bryan Police Department,20,419-636-4233,8500,Ohio,Police Departments,,43506-1235,419-636-1125,
405 E Lutz Rd,Archbold,United States,Fulton County,"Archbold, OH",Archbold Police Department,8,419-445-9991,4200,Ohio,Police Departments,,43502-1252,419-445-0021,
111 N Main St,Walbridge,United States,Wood County,"Walbridge, OH",Walbridge Police Department,7,419-666-1447,3000,Ohio,Police Departments,,43465-1012,419-666-5643,
99 Hillsdale Ave,Rossford,United States,Wood County,"Rossford, OH",Rossford Police Department,17,419-666-7390,7000,Ohio,Police Departments,,43460-1261,419-666-2853,
301 State St,Proctorville,United States,Lawrence County,"Proctorville, OH",Proctorville Police Department,9,740-886-6366,900,Ohio,Police Departments,,45669-3011,740-886-5008,
117 E Front St,Pemberville,United States,Wood County,"Pemberville, OH",Pemberville Police Department,8,419-287-3250,1500,Ohio,Police Departments,,,419-287-3738,
501 W Felix St Bldg 3,Ft Worth,United States,Tarrant County,"Ft Worth, TX",Federal Protective Service,,817-900-5000,,Texas,Federal Protective Service,,76115-3404,817-900-5019,
214 W Madison St,Gibsonburg,United States,Sandusky County,"Gibsonburg, OH",Gibsonburg Police Department,10,419-637-2143,3000,Ohio,Police Departments,,43431-1300,419-637-2275,
130 N Main St,Bradner,United States,Wood County,"Bradner, OH",Bradner Police Department,9,419-288-2222,1100,Ohio,Police Departments,,,419-288-0053,
120 N 7th St,Upper Sandusky,United States,Wyandot County,"Upper Sandusky, OH",Upper Sandusky Police Department,14,419-294-2324,7200,Ohio,Police Departments,,43351-1337,419-294-6765,
Division Office,Seattle,United States,King County,"Seattle, WA",US Drug Enforcement Admin,,206-553-5443,,Washington,US Drug Enforcement Administration,,98119-4013,206-553-1576,400 Second Ave W
433 State Rte 708,Russells Point,United States,Logan County,"Russells Point, OH",Russells Point Police Department,2,937-843-2245,1500,Ohio,Police Departments,,43348-9710,937-843-9956,
72 W High St,Mt Gilead,United States,Morrow County,"Mt Gilead, OH",Mount Gilead Police Department,10,419-946-2677,35000,Ohio,Police Departments,,43338-1244,419-946-8111,
111 W Franklin St,Kenton,United States,Hardin County,"Kenton, OH",Kenton Police Department,16,419-673-0771,8400,Ohio,Police Departments,,43326-1998,419-673-1721,
207 Angle St,Alger,United States,Hardin County,"Alger, OH",Alger Police Department,,419-757-4321,,Ohio,Police Departments,,,419-757-5135,
127 N Vance St,Carey,United States,Wyandot County,"Carey, OH",Carey Police Department,11,419-396-7678,4000,Ohio,Police Departments,,43316-1056,419-396-3508,
Mncpl Bldg 215 Park Ave,Cardington,United States,Morrow County,"Cardington, OH",Cardington Police Department,6,419-864-8888,1700,Ohio,Police Departments,,43315,419-864-0536,
135 N Detroit St,Bellefontaine,United States,Logan County,"Bellefontaine, OH",Bellefontaine Police Department,26,937-599-1010,13000,Ohio,Police Departments,,43311-1463,937-599-2545,
2829 Minerva Lake Rd,Minerva Park,United States,Franklin County,"Minerva Park, OH",Minerva Park Police Department,12,614-882-1408,2000,Ohio,Police Departments,,43231-4820,614-899-1296,
2242 E Main St,Bexley,United States,Franklin County,"Bexley, OH",Bexley Police Department,28,614-239-8881,13203,Ohio,Police Departments,,43209-2319,614-239-1805,
28 E Main St,West Jefferson,United States,Madison County,"West Jefferson, OH",West Jefferson Police Department,10,614-879-7672,4448,Ohio,Police Departments,,43162-1202,614-879-5337,
4175 Alum Creek Dr,Obetz,United States,Franklin County,"Obetz, OH",Obetz Police Department,15,614-491-3211,5000,Ohio,Police Departments,,43207-5140,614-492-5171,
1311 Refugee Rd,Pickerington,United States,Fairfield County,"Pickerington, OH",Pickerington Police Department,18,614-575-6911,9000,Ohio,Police Departments,,43147-9695,614-575-6219,
10 E 1st  St,London,United States,Madison County,"London, OH",London Police Department,12,740-852-1414,9000,Ohio,Police Departments,,43140-1203,740-852-7025,
655 Blacklick St,Groveport,United States,Franklin County,"Groveport, OH",Village of Groveport Police Department,20,614-836-5301,3700,Ohio,Police Departments,,43125-1200,614-836-4592,
10 West Scioto Street,Commercial Point,United States,Pickaway County,"Commercial Point, OH",Commercial Point Police Department,6,614-877-9248,2100,Ohio,Police Departments,,43116,614-877-4567,
130 N Fayette St,Washington Court House,United States,Fayette County,"Washington Court House, OH",Washington Cthse Police Department,22,740-636-2370,13524,Ohio,Police Departments,,43160-1304,740-636-2379,
151 E Franklin St,Circleville,United States,Pickaway County,"Circleville, OH",Circleville Police Department,26,740-477-8221,14000,Ohio,Police Departments,,43113-1717,740-474-8880,
91 W Main St,Ashville,United States,Pickaway County,"Ashville, OH",Ashville Police Department,14,740-983-3112,3500,Ohio,Police Departments,,43103-1216,740-983-8529,
9 E Granville St,Sunbury,United States,Delaware County,"Sunbury, OH",Sunbury Police Department,6,740-965-3946,2500,Ohio,Police Departments,,43074-9130,740-965-8707,
231 Friend Street,Plain City,United States,Madison County,"Plain City, OH",Plain City Police Department,8,614-873-4321,4500,Ohio,Police Departments,www.plain-city.com,43064-1117,614-873-1076,
135 W Main St,St Paris,United States,Champaign County,"St Paris, OH",St Paris Police Department,19,937-663-4468,1998,Ohio,Police Departments,,,937-663-0328,
430 S Main St,Pataskala,United States,Licking County,"Pataskala, OH",Pataskala Police Department,10,740-927-5701,10000,Ohio,Police Departments,,43062-9401,740-927-5704,
18 N Main St,Mechanicsburg,United States,Champaign County,"Mechanicsburg, OH",Mechanicsburg Police Department,12,937-834-2239,2200,Ohio,Police Departments,,43044-1107,937-834-3713,
District 4600-Capitol Security,St Paul,United States,Ramsey County,"St Paul, MN",Minnesota State Patrol,,651-296-6741,,Minnesota,Troop Locations,,55155-0001,651-296-9495,B-5 Capitol Bldg
599 S Main St.,Johnstown,United States,Licking County,"Johnstown, OH",Johnstown Police Department (OH),14,740-967-9911,4500,Ohio,Police Departments,http://johnstownohio.org/,43031-9177,740-967-6415,
141 E Broadway,Granville,United States,Licking County,"Granville, OH",Granville Police Department,11,740-587-1234,4600,Ohio,Police Departments,,43023-1303,740-587-0128,
5200 Walnut Rd,Buckeye Lake,United States,Licking County,"Buckeye Lake, OH",Buckeye Lake Police Department,5,740-928-0999,3200,Ohio,Police Departments,,,740-928-0999,
College Park Barrack,College Park,United States,Prince Georges County,"College Park, MD",Maryland State Police,,301-345-3101,,Maryland,Troop Locations,,20740-1114,301-345-4182,10100 Rhode Island Ave
111 Main St,Munfordville,United States,Hart County,"Munfordville, KY",Munfordville Police Department,3,270-524-5701,1550,Kentucky,Police Departments,,,270-524-3021,
109 N Greensburg St,Hodgenville,United States,Larue County,"Hodgenville, KY",Hodgenville Police Department,8,270-358-3013,2500,Kentucky,Police Departments,,42748-1601,270-358-2215,
117 S Main St,Leitchfield,United States,Grayson County,"Leitchfield, KY",Leitchfield Police Department,15,270-259-3850,4600,Kentucky,Police Departments,,42754-1113,270-259-5154,
121 Woodlawn Ave,Horse Cave,United States,Hart County,"Horse Cave, KY",Horse Cave Police Department,6,270-786-4357,2300,Kentucky,Police Departments,,42749-1161,270-786-4358,
Headquarters,Carson City,United States,Carson City County,"Carson City, NV",Nevada Highway Patrol,,775-684-4867,,Nevada,Headquarters,,89711-0001,775-684-4879,555 Wright Way
100 Terri St,Campbellsville,United States,Taylor County,"Campbellsville, KY",Campbellsville Police Department,16,270-465-4122,12500,Kentucky,Police Departments,,42718-2248,270-465-9000,
214 Upper River St,Burkesville,United States,Cumberland County,"Burkesville, KY",Burkesville Police Department,5,270-864-4141,1815,Kentucky,Police Departments,,42717-9667,270-864-1795,
Patrol District 2-Waukesha,Waukesha,United States,Waukesha County,"Waukesha, WI",Wisconsin State Patrol,,262-785-4700,,Wisconsin,Troop Locations,,53186-2985,262-785-4723,21115 Hwy 18
72 High St,Russell Springs,United States,Russell County,"Russell Springs, KY",Russell Springs Police Department,7,270-866-3636,3000,Kentucky,Police Departments,,42642-4334,270-866-8828,
District 8,Bremerton,United States,Kitsap County,"Bremerton, WA",Washington State Patrol,,360-478-4646,,Washington,Troop Locations,,98312-4403,360-405-6666,4811 Werner Rd
Division I,Glen Allen,United States,Henrico County,"Glen Allen, VA",Virgina Department of State Police,,804-553-3444,,Virginia,Troop Locations,,23060-2377,804-371-3234,9300 Brook Rd
204 Water St,Albany,United States,Clinton County,"Albany, KY",Albany City Police Department,10,606-387-6649,3800,Kentucky,Police Departments,,,606-387-4907,
Traffic Law Enf Region IV,Midland,United States,Midland County,"Midland, TX",Texas Department of Public Safety,,432-498-2113,,Texas,Troop Locations,,79703-7413,,2405 S Loop 250 W
District 8 Highway Patrol,Jackson,United States,Madison County,"Jackson, TN",Tennessee Department of Safety,,731-423-6635,,Tennessee,Troop Locations,,38305-3972,731-423-5014,20 Vann Dr
Troop 6,N Charleston,United States,Charleston County,"N Charleston, SC",South Carolina St Highway Patrol,,843-953-6000,,South Carolina,Troop Locations,,29406-9224,843-953-6009,8740 N Park Blvd
District II,Sioux Falls,United States,Minnehaha County,"Sioux Falls, SD",South Dakota Highway Patrol,,605-367-5700,,South Dakota,Troop Locations,,57118-6465,605-367-5705,5316 W 60th St N
Chepachet Barracks,Chepachet,United States,Providence County,"Chepachet, RI",Rhode Island State Police,,401-444-1065,,Rhode Island,Troop Locations,,,401-567-0370,Rte 44 Putnam Pike
Troop 5,Florence,United States,Florence County,"Florence, SC",South Carolina State Hwy Patrol,,843-661-4700,,South Carolina,Troop Locations,,29503-4011,843-661-4757,3415 E Palmetto St
200 N Willow St,Providence,United States,Webster County,"Providence, KY",Providence Police Department,9,270-667-2021,5900,Kentucky,Police Departments,,42450-1273,270-667-5966,
Troop L,Reading,United States,Berks County,"Reading, PA",Pennsylvania State Police,,610-378-4011,,Pennsylvania,Troop Locations,,19611-1700,610-378-4009,600 Kenhorst Blvd
102 S Main St,Mortons Gap,United States,Hopkins County,"Mortons Gap, KY",Mortons Gap Police Department,1,270-258-5362,987,Kentucky,Police Departments,,,270-258-9353,
Northwest Region,Wilsonville,United States,Clackamas County,"Wilsonville, OR",Oregon State Police,,503-682-0208,,Oregon,Troop Locations,,97070-9651,503-682-1176,25195 Southwest Pkwy Ste 103
103 W Main St,Earlington,United States,Hopkins County,"Earlington, KY",Earlington Police Department,2,270-383-4967,2800,Kentucky,Police Departments,,42410-1243,270-383-2041,
118 E Main St,Morganfield,United States,Union County,"Morganfield, KY",Morganfield Police Department,7,270-389-4357,4000,Kentucky,Police Departments,,42437-1508,270-389-2170,
3424 US Rte 422,Southington,United States,Trumbull County,"Southington, OH",Ohio State Highway Patrol,,330-898-2311,,Ohio,Troop Locations,,44470-9594,330-898-7830,
200 W Arcadia Ave,Dawson Springs,United States,Hopkins County,"Dawson Springs, KY",Dawson Springs Police Department,6,270-797-2277,3000,Kentucky,Police Departments,,42408-1704,270-797-2978,
105 W 3rd St,Livermore,United States,McLean County,"Livermore, KY",Livermore Police Department,2,270-278-9000,1534,Kentucky,Police Departments,,,270-278-9295,
District Locations,Grand Forks,United States,Grand Forks County,"Grand Forks, ND",North Dakota State Highway Patrol,,701-795-3832,,North Dakota,Troop Locations,,58201-4647,701-795-3834,122 S 5th St
